v,cnt
"{""input"":{""keyCode"":""BACK"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",25055
"{""input"":{""keyCode"":""MUTE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",13409
"{""input"":{""keyCode"":""SEND"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",10361
"{""input"":{""keyCode"":""MENU"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",7786
"{""input"":{""keyCode"":""END"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",7121
"{""input"":{""keyCode"":""ON"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",6855
"{""input"":{""keyCode"":""MEDIA"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",3450
"{""input"":{""keyCode"":""RADIO"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",3091
"{""input"":{""keyCode"":""NAVI"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",2628
"{""input"":{""keyCode"":""CAR"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",1397
"{""input"":{""keyCode"":""PTT"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",1340
"{""input"":{""keyCode"":""VOLUME_UP"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",1193
"{""input"":{""keyCode"":""BGA"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",1043
"{""input"":{""keyCode"":""VOLUME_DOWN"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",881
"{""input"":{""keyCode"":""PHONE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",737
"{""input"":{""keyCode"":""SEAT"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",612
"{""input"":{""keyCode"":""FAVORITE"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",403
"{""input"":{""keyCode"":""SKIP_FW"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",47
"{""input"":{""keyCode"":""BACK"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",47
"{""input"":{""keyCode"":""PLAY_PAUSE "",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",37
"{""input"":{""keyCode"":""ON"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",18
"{""input"":{""keyCode"":""MUTE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",17
"{""input"":{""keyCode"":""VOLUME_UP"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",16
"{""input"":{""keyCode"":""WEB"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",16
"{""input"":{""keyCode"":""MENU"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",13
"{""input"":{""keyCode"":""SKIP_BW"",""keyState"":""DOWN"",""affectedDisplay"":""DRIVER""}}",13
"{""input"":{""keyCode"":""VOLUME_DOWN"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",10
"{""input"":{""keyCode"":""RADIO"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",10
"{""input"":{""keyCode"":""PTT"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",7
"{""input"":{""keyCode"":""MEDIA"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",6
"{""input"":{""keyCode"":""SEND"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",6
"{""input"":{""keyCode"":""SKIP_FW"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",5
"{""input"":{""keyCode"":""NAVI"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",5
"{""input"":{""keyCode"":""END"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",4
"{""input"":{""keyCode"":""PLAY_PAUSE "",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",3
"{""input"":{""keyCode"":""PHONE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",2
"{""input"":{""keyCode"":""SKIP_BW"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",2
"{""input"":{""keyCode"":""CAR"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",1
"{""input"":{""keyCode"":""FAVORITE"",""keyState"":""UP"",""affectedDisplay"":""DRIVER""}}",1
